state	Year	tax_state	cost_per_pack	tax_percent	tax_revenue	tax_dollar	sales_per_capita	index	price_cpi
Alaska	1978	0.08	0.571	28	4676000	0.16	143.6	65.23333333333333	2.0132345426673477
Alaska	1979	0.08	0.609	26.3	4451000	0.16	138.1	72.575	1.9300034447123664
Alaska	1980	0.08	0.635	25.2	4351000	0.16	134	82.40833333333333	1.772272221660431
Alaska	1981	0.08	0.728	22	4607000	0.16	144	90.925	1.8415177343964804
Alaska	1982	0.08	0.86	18.6	4888000	0.16	148.3	96.5	2.049740932642487
Alaska	1983	0.08	0.962	24.9	5148000	0.24	146.9	99.6	2.2214859437751007
Alaska	1984	0.08	1.027	23.4	5341000	0.24	133.6	103.88333333333333	2.27380073800738
Alaska	1985	0.08	1.1	29.1	5395000	0.32	128.9	107.56666666666666	2.352029748992873
Alaska	1986	0.16	1.215	26.3	8191000	0.32	126.3	109.60833333333333	2.5495324260624956
Alaska	1987	0.16	1.254	25.6	9503000	0.32	110.4	113.625	2.538349834983498
Alaska	1988	0.16	1.394	23	8865000	0.32	80	118.25833333333333	2.711183144246353
Alaska	1989	0.16	1.702	26.4	8130515	0.45	94.4	123.96666666666667	3.15778435063189
Alaska	1990	0.16	2.017	22.3	13450527	0.45	100.2	130.65833333333333	3.5505580713055678
Alaska	1991	0.29	2.073	23.6	16377954	0.49	101.8	136.19166666666666	3.5008749923514655
Alaska	1992	0.29	2.191	22.4	15812651	0.49	98.5	140.31666666666666	3.591376648057964
Alaska	1993	0.29	2.009	26.9	15321090	0.54	95.2	144.45833333333334	3.1986385924430336
Alaska	1994	0.29	2.014	25.2	15548000	0.53	94.1	148.225	3.125113847191769
Alaska	1995	0.29	2.125	24.9	15752759	0.53	89.5	152.38333333333333	3.207371759816253
Alaska	1996	0.29	2.144	24.7	15907733	0.53	89.9	156.85	3.1438954415046223
Alaska	1997	0.29	2.97	41.8	14379771	1.24	81.7	160.51666666666665	4.25563285224795
Alaska	1998	0.29	3.276	37.9	28431309	1.24	78.6	163.00833333333333	4.622340371146669
Alaska	1999	1	4.047	30.6	42915000	1.24	70.5	166.575	5.587933363349842
Alaska	2000	1	4.397	30.5	43091506	1.34	66	172.2	5.872880371660861
Alaska	2001	1	4.433	30.2	40893899	1.34	65.2	177.06666666666666	5.758226656626506
Alaska	2002	1	4.591	30.3	40434020	1.39	63.7	179.875	5.870354412786658
Alaska	2003	1	4.415	31.5	40239153	1.39	63.6	183.95833333333334	5.52
Alaska	2004	1	5.03	27.6	41260582	1.39	63.6	188.88333333333333	6.124944851319157
Alaska	2005	1.6	5.61	35.5	48750294	1.99	60.2	195.29166666666666	6.607040751013442
Alaska	2006	1.6	5.819	37.6	57910992	2.19	54.5	201.59166666666667	6.639014509528337
Alaska	2007	1.8	6.351	37.6	63849816	2.39	52.9	207.34241666666668	7.04501289935449
Alaska	2008	2	6.69	35.7	64193492	2.39	47	215.3025	7.146688960880622
